name,qualName,term_label
samp_name,https://w3id.org/mixs/0001107,sample name
occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID,
project_name,https://w3id.org/mixs/0000092,project name
experimental_factor,https://w3id.org/mixs/0000008,experimental factor
samp_taxon_id,https://w3id.org/mixs/0001320,taxonomy ID of DNA sample
neg_cont_type,https://w3id.org/mixs/0001321,negative control type
pos_cont_type,https://w3id.org/mixs/0001322,positive control type
env_broad_scale,https://w3id.org/mixs/0000012,broad-scale environmental context
env_local_scale,https://w3id.org/mixs/0000013,local environmental context
env_medium,https://w3id.org/mixs/0000014,environmental medium
subspecf_gen_lin,https://w3id.org/mixs/0000020,subspecific genetic lineage
ploidy,https://w3id.org/mixs/0000021,ploidy
num_replicons,https://w3id.org/mixs/0000022,number of replicons
extrachrom_elements,https://w3id.org/mixs/0000023,extrachromosomal elements
estimated_size,https://w3id.org/mixs/0000024,estimated size
ref_biomaterial,https://w3id.org/mixs/0000025,reference for biomaterial
source_mat_id,https://w3id.org/mixs/0000026,source material identifiers
pathogenicity,https://w3id.org/mixs/0000027,known pathogenicity
biotic_relationship,https://w3id.org/mixs/0000028,observed biotic relationship
specific_host,https://w3id.org/mixs/0000029,host scientific name
host_spec_range,https://w3id.org/mixs/0000030,host specificity or range
host_disease_stat,https://w3id.org/mixs/0000031,host disease status
trophic_level,https://w3id.org/mixs/0000032,trophic level
propagation,https://w3id.org/mixs/0000033,propagation
encoded_traits,https://w3id.org/mixs/0000034,encoded traits
rel_to_oxygen,https://w3id.org/mixs/0000015,relationship to oxygen
isol_growth_condt,https://w3id.org/mixs/0000003,isolation and growth condition
samp_collec_device,https://w3id.org/mixs/0000002,sample collection device
samp_collec_method,https://w3id.org/mixs/0001225,sample collection method
samp_mat_process,https://w3id.org/mixs/0000016,sample material processing
size_frac,https://w3id.org/mixs/0000017,size fraction selected
samp_size,https://w3id.org/mixs/0000001,amount or size of sample collected
samp_vol_we_dna_ext,https://w3id.org/mixs/0000111,sample volume or weight for DNA extraction
source_uvig,https://w3id.org/mixs/0000035,source of UViGs
virus_enrich_appr,https://w3id.org/mixs/0000036,virus enrichment approach
nucl_acid_ext,https://w3id.org/mixs/0000037,nucleic acid extraction
nucl_acid_amp,https://w3id.org/mixs/0000038,nucleic acid amplification
