#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/															
#dcterms:license: CC-0															
#version: 2.0.0															
#creator_id:															
#  - https://orcid.org/0009-0004-7916-9833															
#creator_name:															
#  - Camila Babo															
#curie_map:															
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#															
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_															
#  - dwc: http://rs.tdwg.org/dwc/terms/															
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/															
#  - MIXS: https://w3id.org/mixs/															
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml															
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:															
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=															
#  - orcid: https://orcid.org/															
#  - skos: http://www.w3.org/2004/02/skos/core															
#  - semapv: https://w3id.org/semapv/vocab/															
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	comment
dnaextension:samp_name	samp_name	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0001107	sample name	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_name	dnaextensionversion:2024-07-11.xml#samp_name	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:occurrenceID	occurrenceID	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	dwc:occurrenceID	Ocurrence ID	DwC Core	orcid:0009-0004-7916-9833	dnaextension:occurrenceID	dnaextensionversion:2024-07-11.xml#occurrenceID	dwcversion:doc/list/	2023-09-18	2025-06-04	1	semapv:ManualMappingCuration	Synonyms or similar terms to not exist in MIxS core, as such the term was solely mapped to their origin.
dnaextension:project_name	project_name	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000092	project name	MIxS core	orcid:0009-0004-7916-9833	dnaextension:project_name	dnaextensionversion:2024-07-11.xml#project_name	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:experimental_factor	experimental_factor	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000008	experimental factor	MIxS core	orcid:0009-0004-7916-9833	dnaextension:project_name	dnaextensionversion:2024-07-11.xml#experimetnal_factor	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:samp_taxon_id	samp_taxon_id	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0001320	taxonomy ID of DNA sample	MIxS core	orcid:0009-0004-7916-9833	dnaextension:samp_taxon_id	dnaextensionversion:2024-07-11.xml#samp_taxon_id	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:neg_cont_type	neg_cont_type	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0001321	negative control type	MIxS core	orcid:0009-0004-7916-9833	dnaextension:neg_cont_type	dnaextensionversion:2024-07-11.xml#neg_cont_type	MIXSversion:mixs.yaml	6.2.0	2025-05-02	1	semapv:ManualMappingCuration	
dnaextension:pos_cont_type	pos_cont_type	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0001322	positive control type	MIxS core	orcid:0009-0004-7916-9833	dnaextension:pos_cont_type	dnaextensionversion:2024-07-11.xml#pos_cont_type	MIXSversion:mixs.yaml	6.2.0	2025-05-02	1	semapv:ManualMappingCuration	
dnaextension:env_broad_scale	env_broad_scale	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000012	broad-scale environmental context	MIxS core	orcid:0009-0004-7916-9833	dnaextension:env_broad_scale	dnaextensionversion:2024-07-11.xml#env_broad_scale	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:env_local_scale	env_local_scale	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000013	local environmental context	MIxS core	orcid:0009-0004-7916-9833	dnaextension:env_local_scale	dnaextensionversion:2024-07-11.xml#env_local_scale	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:env_medium	env_medium	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000014	environmental medium	MIxS core	orcid:0009-0004-7916-9833	dnaextension:env_medium	dnaextensionversion:2024-07-11.xml#env_medium	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:subspecf_gen_lin	subspecf_gen_lin	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000020	subspecific genetic lineage	MIxS core	orcid:0009-0004-7916-9833	dnaextension:subspecf_gen_lin	dnaextensionversion:2024-07-11.xml#subspecf_gen_lin	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:ploidy	ploidy	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000021	ploidy	MIxS core	orcid:0009-0004-7916-9833	dnaextension:ploidy	dnaextensionversion:2024-07-11.xml#ploidy	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:num_replicons	num_replicons	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000022	number of replicons	MIxS core	orcid:0009-0004-7916-9833	dnaextension:num_replicons	dnaextensionversion:2024-07-11.xml#num_replicons	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:extrachrom_elements	extrachrom_elements	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000023	extrachromosomal elements	MIxS core	orcid:0009-0004-7916-9833	dnaextension:extrachrom_elements	dnaextensionversion:2024-07-11.xml#extrachrom_elements	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:estimated_size	estimated_size	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000024	estimated size	MIxS core	orcid:0009-0004-7916-9833	dnaextension:estimated_size	dnaextensionversion:2024-07-11.xml#estimated_size	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:ref_biomaterial	ref_biomaterial	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000025	reference for biomaterial	MIxS core	orcid:0009-0004-7916-9833	dnaextension:ref_biomaterial	dnaextensionversion:2024-07-11.xml#ref_biomaterial	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:source_mat_id	source_mat_id	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000026	source material identifiers	MIxS core	orcid:0009-0004-7916-9833	dnaextension:source_mat_id	dnaextensionversion:2024-07-11.xml#source_mat_id	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:pathogenicity	pathogenicity	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000027	known pathogenicity	MIxS core	orcid:0009-0004-7916-9833	dnaextension:pathogenicity	dnaextensionversion:2024-07-11.xml#pathogenicity	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:biotic_relationship	biotic_relationship	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000028	observed biotic relationship	MIxS core	orcid:0009-0004-7916-9833	dnaextension:biotic_relationship	dnaextensionversion:2024-07-11.xml#biotic_relationship	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:specific_host	specific_host	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000029	host scientific name	MIxS core	orcid:0009-0004-7916-9833	dnaextension:specific_host	dnaextensionversion:2024-07-11.xml#specific_host	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:host_spec_range	host_spec_range	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000030	host specificity or range	MIxS core	orcid:0009-0004-7916-9833	dnaextension:host_spec_range	dnaextensionversion:2024-07-11.xml#host_spec_range	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:host_disease_stat	host_disease_stat	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000031	host disease status	MIxS core	orcid:0009-0004-7916-9833	dnaextension:host_disease_stat	dnaextensionversion:2024-07-11.xml#host_disease_stat	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:trophic_level	trophic_level	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000032	trophic level	MIxS core	orcid:0009-0004-7916-9833	dnaextension:trophic_level	dnaextensionversion:2024-07-11.xml#trophic_level	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:propagation	propagation	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000033	propagation	MIxS core	orcid:0009-0004-7916-9833	dnaextension:propagation	dnaextensionversion:2024-07-11.xml#propagation	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:encoded_traits	encoded_traits	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000034	encoded traits	MIxS core	orcid:0009-0004-7916-9833	dnaextension:encoded_traits	dnaextensionversion:2024-07-11.xml#encoded_traits	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:rel_to_oxygen	rel_to_oxygen	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000015	relationship to oxygen	MIxS core	orcid:0009-0004-7916-9833	dnaextension:rel_to_oxygen	dnaextensionversion:2024-07-11.xml#rel_to_oxygen	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
