#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																
#dcterms:license: CC-0																
#version: 2.0.0																
#creator_id:																
#  - https://orcid.org/0009-0004-7916-9833																
#creator_name:																
#  - Camila Babo																
#curie_map:																
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#																
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_																
#  - dwc: http://rs.tdwg.org/dwc/terms/																
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/																
#  - MIXS: https://w3id.org/mixs/																
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml																
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:																
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=																
#  - orcid: https://orcid.org/																
#  - skos: http://www.w3.org/2004/02/skos/core																
#extension_definitions:																
#  - slot_name: ex_syntax_predicate_id																
#  - property: http://sssom.invalid/ex_syntax_predicate_id																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
#  - slot_name: ext_syntax_comment																
#  - property: http://sssom.invalid/ext_syntax_comment																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
subject_id	subject_label	subject_category	ex_syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	ex_syntax_comment
MIXS:0001107	sample name	dnaextension:samp_name	skos:exactMatch	MIXS:0001107	samp_name	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:samp_name	dnaextensionversion:2024-07-11.xml#samp_name	MIXSversion:mixs.yaml	6.2.0	2025-07-09	0.9	ManualMappingCuration	The term doesn't have an example in the DNA-derived extension (subject), but I made the assumption that it was the same
dnaextension:occurrenceID	Ocurrence ID	dnaextension:occurrenceID	skos:exactMatch	dwc:occurrenceID	occurrenceID	DwC Core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:occurrenceID	dnaextensionversion:2024-07-11.xml#occurrenceID	dwcversion:doc/list/	2023-09-18	2025-07-09	1	ManualMappingCuration	
MIXS:0000092	project name	dnaextension:project_name	skos:exactMatch	MIXS:0000092	project_name	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:project_name	dnaextensionversion:2024-07-11.xml#project_name	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000008	experimental factor	dnaextension:experimental_factor	skos:exactMatch	MIXS:0000008	experimental_factor	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:project_name	dnaextensionversion:2024-07-11.xml#experimetnal_factor	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0001320	taxonomy ID of DNA sample	dnaextension:samp_taxon_id	skos:exactMatch	MIXS:0001320	samp_taxon_id	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:samp_taxon_id	dnaextensionversion:2024-07-11.xml#samp_taxon_id	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0001321	negative control type	dnaextension:neg_cont_type	skos:exactMatch	MIXS:0001321	neg_cont_type	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:neg_cont_type	dnaextensionversion:2024-07-11.xml#neg_cont_type	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0001322	positive control type	dnaextension:pos_cont_type	skos:exactMatch	MIXS:0001322	pos_cont_type	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:pos_cont_type	dnaextensionversion:2024-07-11.xml#pos_cont_type	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000012	broad-scale environmental context	dnaextension:env_broad_scale	skos:exactMatch	MIXS:0000012	env_broad_scale	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:env_broad_scale	dnaextensionversion:2024-07-11.xml#env_broad_scale	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000013	local environmental context	dnaextension:env_local_scale	skos:exactMatch	MIXS:0000013	env_local_scale	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:env_local_scale	dnaextensionversion:2024-07-11.xml#env_local_scale	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000014	environmental medium	dnaextension:env_medium	skos:exactMatch	MIXS:0000014	env_medium	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:env_medium	dnaextensionversion:2024-07-11.xml#env_medium	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
